1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1142467,340055,246931,216535,30396,1043,315,91766,802412,0,56366,64842,0,77290,67256,29,3724,6281,17695,702,16993,0,142455,3071,0,52104,95413,284819,8357,63061,0,61273,37406,19374,177,3350,966,884,904,1079406,ND,ND,ND,ND,189268,182098,7170,16685,194338,555.4272139022934,179129,82.72519454129818
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1248299,387345,278126,243315,34811,1346,345,107528,860954,0,58927,67207,0,78096,66500,121,5465,6010,18660,971,17689,0,164696,3344,0,55049,104563,301720,8692,76803,0,74845,45250,23947,319,4063,1266,951,1007,1171496,ND,ND,ND,ND,216815,209093,7722,19470,214823,545.3309141438333,198065,81.40270842323737
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1366145,430981,308963,270874,38089,1592,366,120060,935164,0,63356,72177,0,77532,65426,79,5740,6287,19516,893,18623,0,184698,3482,0,57777,118836,328513,9276,85567,0,83447,51792,25350,550,4186,1569,1034,1086,1280578,ND,ND,ND,ND,239083,230970,8113,21708,237177,539.9249337665186,219082,80.87967099094044
1952:Q1,1384718,437146,311906,273170,38736,1634,365,123241,947572,0,62461,73469,0,80001,66245,123,7499,6134,19400,748,18652,0,186382,3612,0,58445,122763,331583,9456,86224,0,84061,53066,24597,550,4229,1619,1058,1105,1298494,ND,ND,ND,ND,243072,234917,8155,22160,243408,533.4637792427088,220104,80.57400153750412
1952:Q2,1411451,448860,322754,283505,39249,1682,366,124058,962591,0,60709,75744,0,82094,65904,0,9835,6355,19608,695,18913,0,192554,3696,0,59153,126900,332500,9633,90411,0,88204,54798,26878,533,4300,1695,1084,1123,1321040,ND,ND,ND,ND,248053,239827,8226,22354,246447,536.0342440438673,228707,80.67124036613112
1952:Q3,1427466,453482,324183,284584,39599,1697,369,127233,973984,0,63520,77273,0,83781,67045,0,10606,6130,19803,677,19126,0,192052,3837,0,59892,131197,332818,9811,93441,0,91189,56640,27965,466,4347,1771,1110,1142,1334025,ND,ND,ND,ND,253273,244970,8303,22576,253057,527.1639934356394,227944,80.09726477946757
1952:Q4,1436102,463972,334895,294752,40143,1728,375,126974,972130,0,65498,79651,0,84342,67389,-1,10957,5997,20003,714,19289,0,181107,3932,0,60665,135627,330657,10648,97890,0,95595,58416,30522,417,4404,1836,1133,1162,1338212,ND,ND,ND,ND,254730,246477,8253,22903,258904,516.8758151314598,236336,80.18130496145912
1953:Q1,1448800,472930,340387,300182,40205,1787,380,130376,975870,0,66253,81545,0,84729,66956,52,11875,5846,20356,737,19619,0,177850,3867,0,61439,139902,329100,10829,100207,0,97869,60006,30901,431,4618,1913,1154,1184,1348593,ND,ND,ND,ND,257788,249522,8266,22871,262968,512.835259183633,240176,80.01012718950503
1953:Q2,1455561,481964,347238,306680,40558,1855,386,132485,973597,0,63017,84177,0,88303,69312,135,12743,6113,20525,639,19886,0,168575,3778,0,62199,144293,327734,10996,104699,0,102319,62225,32672,571,4864,1987,1173,1207,1350862,ND,ND,ND,ND,260968,252685,8283,23108,266799,506.32188790937,244455,79.71012129907396
1953:Q3,1472711,493031,357332,316348,40984,1926,390,133383,979680,0,65644,85755,0,88627,69128,209,13542,5748,20683,663,20020,0,163841,3753,0,62937,148610,328684,11146,107229,0,104806,64205,33354,347,4850,2050,1192,1231,1365482,ND,ND,ND,ND,266026,257665,8361,23329,266957,511.4989371119509,252143,79.70431297179056
1953:Q4,1496860,493420,355919,315055,40864,1980,394,135127,1003440,0,66782,87886,0,88052,68038,154,13873,5987,20993,708,20285,0,177571,4146,0,63647,152853,330217,11293,110624,0,108158,65938,34614,478,4996,2132,1212,1254,1386236,ND,ND,ND,ND,267631,259300,8331,23209,267217,518.7679628921718,249117,79.070955864849
1954:Q1,1519484,498300,357485,316592,40893,2045,399,138371,1021184,0,65213,89888,0,88441,68196,140,14386,5719,21278,786,20492,0,188597,4512,0,64339,157071,330437,11408,110496,0,107988,67351,32744,583,5086,2224,1233,1275,1408988,ND,ND,ND,ND,269613,261299,8314,23245,269931,521.9808575868458,249241,78.72624703087887
1954:Q2,1544963,501393,361814,320732,41082,2109,404,137066,1043570,0,64229,92829,0,87995,67555,140,14678,5622,21650,833,20817,0,203774,4895,0,65018,161350,330343,11487,114312,0,111763,69614,34006,510,5311,2322,1255,1294,1430651,ND,ND,ND,ND,274131,265761,8370,23366,269820,530.2244058740251,251118,78.29527455944528
1954:Q3,1584656,510852,371385,329781,41604,2121,410,136936,1073804,0,68458,94440,0,87072,66201,152,15246,5473,22026,919,21107,0,221809,5469,0,65687,165558,331712,11573,117763,0,115171,72336,34242,581,5615,2397,1277,1315,1466893,ND,ND,ND,ND,281449,272943,8506,23726,271778,539.7393942372556,257445,78.06544343064033
1954:Q4,1607202,520881,379599,337554,42045,2160,417,138705,1086321,0,68863,97182,0,87050,66087,147,15964,4852,22443,1020,21423,0,222894,6110,0,66349,169935,333828,11668,123092,0,120453,75356,35963,675,6047,2412,1298,1341,1484110,ND,ND,ND,ND,285717,277174,8543,24104,276713,536.3355690547189,262198,77.67586815739111
1955:Q1,1632093,527824,384467,341601,42866,2175,424,140758,1104269,0,68550,99274,0,88913,67640,39,16484,4750,22819,1023,21796,0,229229,6525,0,67031,174318,335800,11810,126315,0,123626,78237,35702,804,6442,2441,1318,1371,1505778,ND,ND,ND,ND,292187,283552,8635,24622,282103,533.7687636302471,263364,77.09696400186182
1955:Q2,1674321,540614,394908,350860,44048,2226,432,143048,1133707,0,66159,101868,0,90418,68240,117,17509,4552,23002,913,22089,0,249979,7186,0,67740,179028,336409,11918,133426,0,130685,81697,38755,1386,6552,2295,1336,1405,1540895,ND,ND,ND,ND,299884,291124,8760,25285,288631,533.8631927593069,269163,76.71521404548824
1955:Q3,1719063,555201,406169,360688,45481,2313,442,146277,1163862,0,69652,103362,0,92454,69181,232,18360,4681,23300,985,22315,0,264068,7257,0,68498,183687,339574,12009,138787,0,135989,85032,40543,1451,6701,2262,1356,1442,1580276,ND,ND,ND,ND,307097,298226,8871,26105,295107,535.4924832151587,275656,76.42505434059353
1955:Q4,1745165,565459,414487,367383,47104,2412,455,148105,1179706,0,70033,105783,0,93597,68843,605,19174,4975,23624,899,22725,0,265346,7839,0,69254,188255,343802,12173,144426,0,141563,87936,42949,1799,6713,2166,1381,1482,1600739,ND,ND,ND,ND,312200,303275,8925,27175,299354,534.7312115516638,279447,76.06421636276039
1956:Q1,1789720,577339,424188,375328,48860,2484,466,150201,1212381,0,69369,107946,0,95931,70474,721,19569,5167,24171,972,23199,0,281568,8555,0,70104,192884,349606,12247,146185,0,143247,90356,42251,1432,6770,2438,1413,1525,1643535,ND,ND,ND,ND,317926,308914,9012,28567,303616,541.3202233120434,284972,75.92612328416745
1956:Q2,1805087,588176,433166,383760,49406,2555,479,151976,1216911,0,67945,110925,0,97192,70183,958,20436,5615,24509,835,23674,0,272443,8613,0,71013,197560,354355,12356,151446,0,148421,93327,44281,1388,6856,2569,1452,1573,1653641,ND,ND,ND,ND,326057,316890,9167,28676,308551,535.9377205374723,290433,75.6808943089431
